wflName nbPart c CM m TM ModelTM
depl-8UsRp4-4.xml 50000000 6300 16175 76 16251 15706
depl-8UsRp4-4.xml 50000000 7200 17055 495 17550 18300
depl-8UsRp4-4.xml 50000000 9000 18979 1272 20251 20843
depl-8UsRp4-4.xml 50000000 10800 21987 1772 23759 21171
depl-8UsRp4-5.xml 50000000 1200 14866 14673 29539 27156
depl-8UsRp4-5.xml 50000000 1500 14321 10406 24727 23040
depl-8UsRp4-5.xml 50000000 1800 14322 6891 21213 19682
depl-8UsRp4-5.xml 50000000 2100 14327 5263 19590 18290
depl-8UsRp4-5.xml 50000000 2700 14750 1504 16254 14945
depl-8UsRp4-5.xml 50000000 3600 15280 1533 16813 15381
depl-8UsRp4-5.xml 50000000 4500 14855 1165 16020 15321
depl-8UsRp4-5.xml 50000000 5400 16744 1808 18552 16577
depl-8UsRp4-5.xml 50000000 6300 15415 248 15663 15656
depl-8UsRp4-5.xml 50000000 7200 15904 837 16741 17636
depl-8UsRp4-5.xml 50000000 9000 18917 1555 20472 20684
depl-8UsRp4-5.xml 50000000 10800 21842 1845 23687 20085
depl-Csnpml-1.xml 50000000 1200 15956 13122 29078 27089
depl-Csnpml-1.xml 50000000 1500 15600 8895 24495 23030
depl-Csnpml-1.xml 50000000 1800 15668 5627 21295 19797
depl-Csnpml-1.xml 50000000 2100 15509 4043 19552 18421
depl-Csnpml-1.xml 50000000 2400 15744 2002 17746 16345
depl-Csnpml-1.xml 50000000 2700 16047 1950 17997 16713
depl-Csnpml-1.xml 50000000 3600 16422 1228 17650 16469
depl-Csnpml-1.xml 50000000 4500 16067 1153 17220 16651
depl-Csnpml-1.xml 50000000 5400 17840 1766 19606 17945
depl-Csnpml-1.xml 50000000 6300 15906 190 16096 16668
depl-Csnpml-1.xml 50000000 7200 16727 6656 23383 24613
depl-Csnpml-1.xml 50000000 9000 19678 1343 21021 21001
depl-Csnpml-1.xml 50000000 10800 22442 191 22633 19773
depl-Csnpml-2.xml 50000000 1200 16334 10321 26655 24688
depl-Csnpml-2.xml 50000000 1500 16146 6670 22816 21255
depl-Csnpml-2.xml 50000000 1800 16029 4061 20090 18737
depl-Csnpml-2.xml 50000000 2100 16233 2422 18655 17307
depl-Csnpml-2.xml 50000000 2400 16440 1601 18041 16656
depl-Csnpml-2.xml 50000000 2700 16238 743 16981 15878
depl-Csnpml-2.xml 50000000 3600 16713 650 17363 16342
depl-Csnpml-2.xml 50000000 4500 16790 354 17144 16251
depl-Csnpml-2.xml 50000000 5400 18200 1298 19498 18138
depl-Csnpml-2.xml 50000000 6300 19584 103 19687 16831
depl-Csnpml-2.xml 50000000 7200 16780 525 17305 18975
depl-Csnpml-2.xml 50000000 9000 19923 875 20798 21462
depl-Csnpml-2.xml 50000000 10800 22778 806 23584 21246
depl-Csnpml-3.xml 50000000 1200 16370 13716 30086 28061
depl-Csnpml-3.xml 50000000 1500 16017 9329 25346 23873
depl-Csnpml-3.xml 50000000 1800 15844 6038 21882 20516
depl-Csnpml-3.xml 50000000 2100 16070 3890 19960 18582
depl-Csnpml-3.xml 50000000 2400 16231 2794 19025 17746
depl-Csnpml-3.xml 50000000 2700 16227 1118 17345 16228
depl-Csnpml-3.xml 50000000 3600 16678 880 17558 16550
depl-Csnpml-3.xml 50000000 4500 16447 414 16861 16160
depl-Csnpml-3.xml 50000000 5400 18154 1549 19703 18306
depl-Csnpml-3.xml 50000000 6300 19201 173 19374 16901
depl-Csnpml-3.xml 50000000 9000 19904 1107 21011 21455
depl-Csnpml-3.xml 50000000 10800 22740 1054 23794 21112
depl-Csnpml-4.xml 50000000 1200 15994 10165 26159 24393
depl-Csnpml-4.xml 50000000 1500 15767 6158 21925 20564
depl-Csnpml-4.xml 50000000 1800 15627 3568 19195 17892
depl-Csnpml-4.xml 50000000 2100 15639 743 16382 15262
depl-Csnpml-4.xml 50000000 2400 16013 2475 18488 17251
depl-Csnpml-4.xml 50000000 2700 16056 809 16865 15795
depl-Csnpml-4.xml 50000000 3600 16543 752 17295 16323
depl-Csnpml-4.xml 50000000 4500 16302 72 16374 15721
depl-Csnpml-4.xml 50000000 5400 18035 1407 19442 17982
depl-Csnpml-4.xml 50000000 6300 19107 151 19258 16783
depl-Csnpml-4.xml 50000000 7200 16720 486 17206 18706
depl-Csnpml-4.xml 50000000 9000 19824 917 20741 21114
depl-Csnpml-4.xml 50000000 10800 22646 104 22750 19838
depl-Csnpml-5.xml 50000000 1200 15792 11006 26798 24944
depl-Csnpml-5.xml 50000000 1500 15549 7098 22647 21211
depl-Csnpml-5.xml 50000000 1800 15580 4202 19782 18328
depl-Csnpml-5.xml 50000000 2100 15443 2718 18161 17057
depl-Csnpml-5.xml 50000000 2400 15735 1264 16999 15644
depl-Csnpml-5.xml 50000000 2700 16022 1098 17120 15844
depl-Csnpml-5.xml 50000000 4500 16036 463 16499 15906
depl-Csnpml-5.xml 50000000 5400 17876 1367 19243 17563
depl-Csnpml-5.xml 50000000 6300 16109 101 16210 16559
depl-Csnpml-5.xml 50000000 7200 16691 7601 24292 25359
